design_index,design_id,candidate_count,activity_pair_count,topology_count,profile_count,activity_count
1,x1,11,6,2,22,4
2,x2,0,0,0,0,0
3,x3,9,5,3,18,4
4,x4,6,6,1,12,4
5,x5,1,1,1,2,2
6,x6,6,6,1,10,4
7,x7,3,3,1,6,3
8,x8,13,8,2,26,5
9,x9,3,3,1,6,3
10,x10,0,0,0,0,0
11,x11,0,0,0,0,0
12,x12,11,8,2,22,5
13,x13,2,2,1,4,3
14,x14,6,5,2,12,4
15,x15,4,4,1,8,4
16,x16,8,7,2,16,5
17,x17,7,4,3,14,4
18,x18,0,0,0,0,0
19,x19,4,3,2,8,3
20,x20,14,8,2,28,5
21,x21,8,6,2,16,4
22,x22,0,0,0,0,0
23,x23,7,7,1,12,5
24,x24,8,6,2,16,4
25,x25,3,3,1,6,3
26,x26,8,6,2,16,4
27,x27,1,1,1,2,2
28,x28,16,8,2,32,5
29,x29,4,4,2,8,4
30,x30,9,6,2,17,4
31,x31,0,0,0,0,0
32,x32,0,0,0,0,0
33,x33,7,6,1,14,5
34,x34,0,0,0,0,0
35,x35,0,0,0,0,0
36,x36,0,0,0,0,0
37,x37,4,3,1,8,4
38,x38,0,0,0,0,0
39,x39,1,1,1,2,2
40,x40,0,0,0,0,0
41,x41,52,10,2,98,5
42,x42,6,3,2,12,3
43,x43,0,0,0,0,0
44,x44,0,0,0,0,0
45,x45,2,1,1,4,2
46,x46,6,3,1,12,3
47,x47,0,0,0,0,0
48,x48,0,0,0,0,0
49,x49,0,0,0,0,0
50,x50,0,0,0,0,0
51,x51,0,0,0,0,0
52,x52,0,0,0,0,0
53,x53,0,0,0,0,0
54,x54,0,0,0,0,0
55,x55,0,0,0,0,0
56,x56,0,0,0,0,0
57,x57,32,10,1,64,5
58,x58,0,0,0,0,0
59,x59,0,0,0,0,0
60,x60,0,0,0,0,0
61,x61,0,0,0,0,0
62,x62,0,0,0,0,0
63,x63,0,0,0,0,0
64,x64,0,0,0,0,0
65,x65,2,2,1,4,3
66,x66,0,0,0,0,0
67,x67,0,0,0,0,0
68,x68,0,0,0,0,0
69,x69,0,0,0,0,0
70,x70,0,0,0,0,0
71,x71,0,0,0,0,0
72,x72,0,0,0,0,0
73,x73,0,0,0,0,0
74,x74,0,0,0,0,0
75,x75,0,0,0,0,0
76,x76,0,0,0,0,0
77,x77,0,0,0,0,0
78,x78,0,0,0,0,0
79,x79,0,0,0,0,0
80,x80,0,0,0,0,0
81,x81,32,10,1,64,5
82,x82,0,0,0,0,0
83,x83,0,0,0,0,0
84,x84,0,0,0,0,0
85,x85,0,0,0,0,0
86,x86,0,0,0,0,0
87,x87,0,0,0,0,0
88,x88,0,0,0,0,0
89,x89,0,0,0,0,0
90,x90,0,0,0,0,0
91,x91,0,0,0,0,0
92,x92,0,0,0,0,0
93,x93,0,0,0,0,0
94,x94,0,0,0,0,0
95,x95,0,0,0,0,0
96,x96,0,0,0,0,0
97,x97,32,10,1,64,5
98,x98,0,0,0,0,0
99,x99,4,3,1,8,3
100,x100,3,2,1,6,3
