design_index,topology,distance_a,doping,angle_deg,candidate_count
1,bridged,5.6,NS,0,2
1,independent adjacent,6.8,N,0,9
3,bridged,6.4,N,60,1
3,independent adjacent,8.4,S,60,3
3,independent separated,12.4,S,60,5
4,independent separated,8.8,N,15,6
5,independent adjacent,7.0,S,45,1
6,bridged,6.2,S,75,6
7,independent adjacent,8.0,N,105,3
8,independent adjacent,8.8,N,135,8
8,independent separated,12.0,N,135,5
9,independent separated,13.0,NS,15,3
12,independent adjacent,6.2,N,105,6
12,independent separated,8.8,N,105,5
13,independent adjacent,7.0,S,135,2
14,independent adjacent,7.4,NS,15,5
14,independent separated,10.4,S,15,1
15,independent separated,11.4,N,45,4
16,independent adjacent,8.8,N,75,5
16,independent separated,12.0,N,75,3
17,bridged,7.6,NS,105,1
17,independent adjacent,9.2,S,105,3
17,independent separated,13.0,NS,105,3
19,independent adjacent,10.4,N,15,1
19,independent separated,14.6,N,15,3
20,independent adjacent,6.2,N,45,6
20,independent separated,8.8,N,45,8
21,bridged,5.8,NS,75,2
21,independent separated,9.8,NS,75,6
23,independent separated,11.4,N,135,7
24,independent adjacent,8.8,N,15,6
24,independent separated,12.0,N,15,2
25,independent separated,13.0,NS,45,3
26,bridged,8.0,S,75,2
26,independent adjacent,9.8,NS,75,6
27,bridged,8.4,N,105,1
28,independent adjacent,6.2,N,135,8
28,independent separated,8.8,N,135,8
29,bridged,5.8,NS,15,3
29,independent separated,9.8,NS,15,1
30,independent adjacent,7.4,NS,45,5
30,independent separated,10.4,S,45,4
33,independent separated,13.0,NS,135,7
37,independent separated,9.8,NS,105,4
39,independent separated,11.4,N,15,1
41,independent adjacent,9.2,S,75,20
41,independent separated,13.0,NS,75,32
42,bridged,8.0,S,105,4
42,independent adjacent,9.8,NS,105,2
45,independent adjacent,7.0,S,45,2
46,bridged,6.2,S,75,6
57,independent separated,13.0,NS,105,32
65,independent separated,13.0,NS,45,2
81,independent separated,13.0,NS,75,32
97,independent separated,13.0,NS,105,32
99,independent separated,14.6,N,15,4
100,independent separated,8.8,N,45,3
