profile_id,candidate_id,design_id,design_index,activity_pair,activity,partner_activity,topology,distance_a,doping,angle_deg,variant_id,selected_method,adsorption_energy_ev,activation_metric_ev,reaction_energy_ev,scan_energy_range_ev,frame_count,converged_frames,score,max_force_ev_per_a
153f6b8a_glutathione_peroxidase,153f6b8a,x1,1,Glutathione Peroxidase + Oxidase,Glutathione Peroxidase,Oxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,GFN2 deep,0.8974036926078952,2.9269983685808256,2.9269983685808256,2.9269983685808256,5,5,0.7101343174363519,0.0357956017342312
153f6b8a_oxidase,153f6b8a,x1,1,Glutathione Peroxidase + Oxidase,Oxidase,Glutathione Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,First pass,-1.3103122103391345,0.0858404440991762,0.0858404440991762,0.2419510117083518,5,5,0.7101343174363519,0.0357956017342312
1d195702_catalase,1d195702,x1,1,Catalase + Peroxidase,Catalase,Peroxidase,bridged,5.6,NS,0,x1_bridged_d5.6_ns_a0,GFN1 SCF fallback,0.3003257497221057,2.845646928104543,2.845646928104543,2.845646928104543,5,5,0.7155338255507466,0.0445820749116553
1d195702_peroxidase,1d195702,x1,1,Catalase + Peroxidase,Peroxidase,Catalase,bridged,5.6,NS,0,x1_bridged_d5.6_ns_a0,GFN1 SCF fallback,0.3187377558851949,2.1252858670122805,2.1252858670122805,2.2031566151290463,5,5,0.7155338255507466,0.0445820749116553
46832d83_catalase,46832d83,x1,1,Catalase + Glutathione Peroxidase,Catalase,Glutathione Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,GFN1 SCF fallback,-0.0525087447158512,3.8393147243868953,3.8393147243868953,3.8393147243868953,5,5,0.743217847777703,0.0384898005062482
46832d83_glutathione_peroxidase,46832d83,x1,1,Catalase + Glutathione Peroxidase,Glutathione Peroxidase,Catalase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,GFN1 extended,1.6425055856302606,6.883357615666682,-2.2349843091105868,9.118341924777267,5,5,0.743217847777703,0.0384898005062482
7a2c1624_glutathione_peroxidase,7a2c1624,x1,1,Glutathione Peroxidase + Peroxidase,Glutathione Peroxidase,Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,GFN2 deep,2.416409390832996,4.551912017238465,2.726951274179555,4.551912017238465,5,5,0.714129605505853,0.0444651705526565
7a2c1624_peroxidase,7a2c1624,x1,1,Glutathione Peroxidase + Peroxidase,Peroxidase,Glutathione Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,GFN1 SCF fallback,-0.5392103145077272,2.5743355534336843,2.5743355534336843,2.5743355534336843,5,5,0.714129605505853,0.0444651705526565
7d6533e7_oxidase,7d6533e7,x1,1,Oxidase + Peroxidase,Oxidase,Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,First pass,-0.6792103027935354,0.0,-2.9421322268949552,3.0370344818270496,5,5,0.714129605505853,0.0444651705526565
7d6533e7_peroxidase,7d6533e7,x1,1,Oxidase + Peroxidase,Peroxidase,Oxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,GFN1 extended,-0.5392103145095462,1.826561811009924,-3.950568964446575,5.777130775456499,5,5,0.714129605505853,0.0444651705526565
8195ee9a_catalase,8195ee9a,x1,1,Catalase + Peroxidase,Catalase,Peroxidase,bridged,5.6,NS,0,x1_bridged_d5.6_ns_a0,GFN1 SCF fallback,0.3003257497248341,2.847685966510653,2.847685966510653,2.847685966510653,5,5,0.7155338255507466,0.0445820749116553
8195ee9a_peroxidase,8195ee9a,x1,1,Catalase + Peroxidase,Peroxidase,Catalase,bridged,5.6,NS,0,x1_bridged_d5.6_ns_a0,GFN1 SCF fallback,0.3187377558861044,0.7386973383881923,-0.3044670143444818,1.0431643527326742,5,5,0.7155338255507466,0.0445820749116553
983be37c_catalase,983be37c,x1,1,Catalase + Peroxidase,Catalase,Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,GFN1 SCF fallback,-0.0542835600090256,3.915161658143006,3.915161658143006,3.915161658143006,5,5,0.7455198040700709,0.0481057056730953
