candidate_id,topology,distance_a,doping,angle_deg
1d195702,bridged,5.6,NS,0
8195ee9a,bridged,5.6,NS,0
46832d83,independent adjacent,6.8,N,0
c026116f,independent adjacent,6.8,N,0
9ec561f2,independent adjacent,6.8,N,0
b36787b1,independent adjacent,6.8,N,0
983be37c,independent adjacent,6.8,N,0
e7b2f3b3,independent adjacent,6.8,N,0
153f6b8a,independent adjacent,6.8,N,0
7a2c1624,independent adjacent,6.8,N,0
7d6533e7,independent adjacent,6.8,N,0
79bd3431,bridged,6.4,N,60
dc3ed49f,independent adjacent,8.4,S,60
e2ca81a4,independent adjacent,8.4,S,60
621e0bc1,independent adjacent,8.4,S,60
74820a79,independent separated,12.4,S,60
bae713d7,independent separated,12.4,S,60
1b0b26e4,independent separated,12.4,S,60
92567ba7,independent separated,12.4,S,60
c8f96ba2,independent separated,12.4,S,60
ad1d6912,independent separated,8.8,N,15
c5946ea0,independent separated,8.8,N,15
66070cb5,independent separated,8.8,N,15
82300d54,independent separated,8.8,N,15
976aa64b,independent separated,8.8,N,15
96ae2701,independent separated,8.8,N,15
827a743e,independent adjacent,7.0,S,45
644a5e9e,bridged,6.2,S,75
58cd660c,bridged,6.2,S,75
8f21a96c,bridged,6.2,S,75
ffb513b8,bridged,6.2,S,75
9034c955,bridged,6.2,S,75
dcdce03b,bridged,6.2,S,75
9905dc81,independent adjacent,8.0,N,105
c1a8f5ff,independent adjacent,8.0,N,105
59355fe9,independent adjacent,8.0,N,105
e7823e90,independent adjacent,8.8,N,135
ce640407,independent adjacent,8.8,N,135
707ba750,independent adjacent,8.8,N,135
2fd59fe4,independent adjacent,8.8,N,135
546a5ac5,independent adjacent,8.8,N,135
743e7dc9,independent adjacent,8.8,N,135
62533915,independent adjacent,8.8,N,135
fdf94907,independent adjacent,8.8,N,135
41f9b430,independent separated,12.0,N,135
8384434b,independent separated,12.0,N,135
ec1fc219,independent separated,12.0,N,135
2f771f22,independent separated,12.0,N,135
50b2bb19,independent separated,12.0,N,135
042041a3,independent separated,13.0,NS,15
0b54c61a,independent separated,13.0,NS,15
956589f6,independent separated,13.0,NS,15
a9e31d5e,independent adjacent,6.2,N,105
2c7aacac,independent adjacent,6.2,N,105
f6a53996,independent adjacent,6.2,N,105
28e1d313,independent adjacent,6.2,N,105
93feb5ab,independent adjacent,6.2,N,105
36b1c272,independent adjacent,6.2,N,105
fe2778ad,independent separated,8.8,N,105
5e70a71e,independent separated,8.8,N,105
86c9b42d,independent separated,8.8,N,105
70a3aabf,independent separated,8.8,N,105
af170bb7,independent separated,8.8,N,105
8296035a,independent adjacent,7.0,S,135
3379bb89,independent adjacent,7.0,S,135
87785d3e,independent adjacent,7.4,NS,15
f070549b,independent adjacent,7.4,NS,15
a465dd19,independent adjacent,7.4,NS,15
469b639c,independent adjacent,7.4,NS,15
84c6fc50,independent adjacent,7.4,NS,15
60c3b8a7,independent separated,10.4,S,15
023f943c,independent separated,11.4,N,45
14a1b2af,independent separated,11.4,N,45
4a58a8b0,independent separated,11.4,N,45
c99c7536,independent separated,11.4,N,45
aad1192f,independent adjacent,8.8,N,75
ff87b8d1,independent adjacent,8.8,N,75
7c1572c8,independent adjacent,8.8,N,75
1147bd17,independent adjacent,8.8,N,75
d0ee8b98,independent adjacent,8.8,N,75
33a6ea13,independent separated,12.0,N,75
937196b3,independent separated,12.0,N,75
d3b8fed5,independent separated,12.0,N,75
4cce34b2,bridged,7.6,NS,105
e3fd0119,independent adjacent,9.2,S,105
e0cd31ae,independent adjacent,9.2,S,105
9557875a,independent adjacent,9.2,S,105
83ccba7e,independent separated,13.0,NS,105
324f14f5,independent separated,13.0,NS,105
77a7b144,independent separated,13.0,NS,105
a009cc05,independent adjacent,10.4,N,15
8de672d0,independent separated,14.6,N,15
ab534c30,independent separated,14.6,N,15
0f467492,independent separated,14.6,N,15
c134acbe,independent adjacent,6.2,N,45
ed63c308,independent adjacent,6.2,N,45
89743efe,independent adjacent,6.2,N,45
10881684,independent adjacent,6.2,N,45
cb6a0baf,independent adjacent,6.2,N,45
a164ecde,independent adjacent,6.2,N,45
8828f789,independent separated,8.8,N,45
7dbb8378,independent separated,8.8,N,45
52e70cee,independent separated,8.8,N,45
445ecd99,independent separated,8.8,N,45
ac78230b,independent separated,8.8,N,45
97a889c9,independent separated,8.8,N,45
40a34f3b,independent separated,8.8,N,45
f7a85d5f,independent separated,8.8,N,45
6b6d60b0,bridged,5.8,NS,75
babc42dd,bridged,5.8,NS,75
383785f2,independent separated,9.8,NS,75
1be9a0ce,independent separated,9.8,NS,75
f7128d92,independent separated,9.8,NS,75
242dc5ee,independent separated,9.8,NS,75
041d77dd,independent separated,9.8,NS,75
e20f356a,independent separated,9.8,NS,75
c3d7b2be,independent separated,11.4,N,135
3c24a739,independent separated,11.4,N,135
e05e0274,independent separated,11.4,N,135
2eb65b9e,independent separated,11.4,N,135
77b47a61,independent separated,11.4,N,135
9b19eaa6,independent separated,11.4,N,135
f35b0148,independent separated,11.4,N,135
a85ddc11,independent adjacent,8.8,N,15
df57707f,independent adjacent,8.8,N,15
d90a3cfc,independent adjacent,8.8,N,15
1254576c,independent adjacent,8.8,N,15
d5e32805,independent adjacent,8.8,N,15
2683d752,independent adjacent,8.8,N,15
7092a769,independent separated,12.0,N,15
3e66ea84,independent separated,12.0,N,15
ee0eb0b5,independent separated,13.0,NS,45
71c3c53b,independent separated,13.0,NS,45
a74f064d,independent separated,13.0,NS,45
fa9ef7ad,bridged,8.0,S,75
d2bbcd7f,bridged,8.0,S,75
59aeabf7,independent adjacent,9.8,NS,75
e5e8e310,independent adjacent,9.8,NS,75
61225ae4,independent adjacent,9.8,NS,75
9fb993e8,independent adjacent,9.8,NS,75
ee1f8cc5,independent adjacent,9.8,NS,75
c6ac076d,independent adjacent,9.8,NS,75
c7f76d94,bridged,8.4,N,105
e717fb24,independent adjacent,6.2,N,135
18ccc8e9,independent adjacent,6.2,N,135
bdb12ce6,independent adjacent,6.2,N,135
988b93aa,independent adjacent,6.2,N,135
7a476de9,independent adjacent,6.2,N,135
f2c6aa9d,independent adjacent,6.2,N,135
b8a00c0a,independent adjacent,6.2,N,135
fae232f3,independent adjacent,6.2,N,135
b677be09,independent separated,8.8,N,135
b5550f00,independent separated,8.8,N,135
8ae50da4,independent separated,8.8,N,135
132e39e4,independent separated,8.8,N,135
4748ee82,independent separated,8.8,N,135
ebc51ce1,independent separated,8.8,N,135
532e640a,independent separated,8.8,N,135
c8fcefa5,independent separated,8.8,N,135
408e19b5,bridged,5.8,NS,15
bb757de5,bridged,5.8,NS,15
030c3780,bridged,5.8,NS,15
92db5883,independent separated,9.8,NS,15
ba68d7b7,independent adjacent,7.4,NS,45
5685d8a5,independent adjacent,7.4,NS,45
9896e450,independent adjacent,7.4,NS,45
303a8d4e,independent adjacent,7.4,NS,45
6f8d0650,independent adjacent,7.4,NS,45
6b310cc8,independent separated,10.4,S,45
b876b6fa,independent separated,10.4,S,45
e0e929e4,independent separated,10.4,S,45
b210dff4,independent separated,10.4,S,45
234243b6,independent separated,13.0,NS,135
1598f4df,independent separated,13.0,NS,135
f29e0fdd,independent separated,13.0,NS,135
655701ab,independent separated,13.0,NS,135
58cd208d,independent separated,13.0,NS,135
54778a08,independent separated,13.0,NS,135
2df232c8,independent separated,13.0,NS,135
76727a58,independent separated,9.8,NS,105
d8167640,independent separated,9.8,NS,105
21438f1d,independent separated,9.8,NS,105
9502397a,independent separated,9.8,NS,105
66a9e1fa,independent separated,11.4,N,15
0c47f082,independent adjacent,9.2,S,75
a23c7a6c,independent adjacent,9.2,S,75
8b06e731,independent adjacent,9.2,S,75
