activity_pair,topology,candidate_count,pair_count,within_pair_percent
Oxidase + Peroxidase,bridged,10,62,16.12903226
Oxidase + Peroxidase,independent adjacent,20,62,32.25806452
Oxidase + Peroxidase,independent separated,32,62,51.61290323
Glutathione Peroxidase + Peroxidase,independent adjacent,18,50,36.0
Glutathione Peroxidase + Peroxidase,independent separated,32,50,64.0
Glutathione Peroxidase + Oxidase,independent adjacent,14,48,29.16666667
Glutathione Peroxidase + Oxidase,independent separated,34,48,70.83333333
Catalase + Oxidase,bridged,7,40,17.5
Catalase + Oxidase,independent adjacent,14,40,35.0
Catalase + Oxidase,independent separated,19,40,47.5
Catalase + Peroxidase,bridged,8,36,22.22222222
Catalase + Peroxidase,independent adjacent,11,36,30.55555556
Catalase + Peroxidase,independent separated,17,36,47.22222222
Catalase + Glutathione Peroxidase,independent adjacent,11,34,32.35294118
Catalase + Glutathione Peroxidase,independent separated,23,34,67.64705882
Glucose Oxidase + Glutathione Peroxidase,independent adjacent,5,27,18.51851852
Glucose Oxidase + Glutathione Peroxidase,independent separated,22,27,81.48148148
Glucose Oxidase + Oxidase,independent adjacent,4,25,16.0
Glucose Oxidase + Oxidase,independent separated,21,25,84.0
Glucose Oxidase + Peroxidase,independent adjacent,2,19,10.52631579
Glucose Oxidase + Peroxidase,independent separated,17,19,89.47368421
Catalase + Glucose Oxidase,independent adjacent,2,11,18.18181818
Catalase + Glucose Oxidase,independent separated,9,11,81.81818182
Catalase + DNase,bridged,1,1,100.0
DNase + Oxidase,bridged,1,1,100.0
DNase + Peroxidase,bridged,1,1,100.0
