design_index,design_id,candidate_count,topology_count,activity_pair_count,requested_distance_min_a,requested_distance_max_a,doping_values,angle_values_deg,profile_count
1,x1,11,2,6,5.6,6.8,N;NS,0,22
3,x3,9,3,5,6.4,12.4,N;S,60,18
4,x4,6,1,6,8.8,8.8,N,15,12
5,x5,1,1,1,7.0,7.0,S,45,2
6,x6,6,1,6,6.2,6.2,S,75,10
7,x7,3,1,3,8.0,8.0,N,105,6
8,x8,13,2,8,8.8,12.0,N,135,26
9,x9,3,1,3,13.0,13.0,NS,15,6
12,x12,11,2,8,6.2,8.8,N,105,22
13,x13,2,1,2,7.0,7.0,S,135,4
14,x14,6,2,5,7.4,10.4,NS;S,15,12
15,x15,4,1,4,11.4,11.4,N,45,8
16,x16,8,2,7,8.8,12.0,N,75,16
17,x17,7,3,4,7.6,13.0,NS;S,105,14
19,x19,4,2,3,10.4,14.6,N,15,8
20,x20,14,2,8,6.2,8.8,N,45,28
21,x21,8,2,6,5.8,9.8,NS,75,16
23,x23,7,1,7,11.4,11.4,N,135,12
24,x24,8,2,6,8.8,12.0,N,15,16
25,x25,3,1,3,13.0,13.0,NS,45,6
26,x26,8,2,6,8.0,9.8,NS;S,75,16
27,x27,1,1,1,8.4,8.4,N,105,2
28,x28,16,2,8,6.2,8.8,N,135,32
29,x29,4,2,4,5.8,9.8,NS,15,8
30,x30,9,2,6,7.4,10.4,NS;S,45,17
33,x33,7,1,6,13.0,13.0,NS,135,14
37,x37,4,1,3,9.8,9.8,NS,105,8
39,x39,1,1,1,11.4,11.4,N,15,2
41,x41,52,2,10,9.2,13.0,NS;S,75,98
42,x42,6,2,3,8.0,9.8,NS;S,105,12
45,x45,2,1,1,7.0,7.0,S,45,4
46,x46,6,1,3,6.2,6.2,S,75,12
57,x57,32,1,10,13.0,13.0,NS,105,64
65,x65,2,1,2,13.0,13.0,NS,45,4
81,x81,32,1,10,13.0,13.0,NS,75,64
97,x97,32,1,10,13.0,13.0,NS,105,64
99,x99,4,1,3,14.6,14.6,N,15,8
100,x100,3,1,2,8.8,8.8,N,45,6
